"Campaign name","Ad Set Name",Ads,"Ad name",Objective,Day,Gender,Age,"Delivery status","Delivery level","Attribution setting","Result type",Results,Reach,Frequency,"Cost per result","Amount spent (USD)",Impressions,"CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all)","Landing page views","Content views","Website content views","Checkouts Initiated","Website checkouts initiated","Adds of payment info","Website adds of payment info","Purchase ROAS (return on ad spend)","Website purchase ROAS (return on ad spend)",Purchases,"Website purchases",Objective,"Reporting starts","Reporting ends"
"Dirty A/B testing","Brand + Product Group A",BanersFartoClose,BanersFartoClose,LINK_CLICKS,2024-12-04,female,35-44,not_delivering,ad,"7-day click or 1-day view",,,27,1.07407407,,0.05,29,1.72413793,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","Brand + Product Group A",BanersFartoClose,BanersFartoClose,LINK_CLICKS,2024-12-04,male,35-44,not_delivering,ad,"7-day click or 1-day view",,,6,1.16666667,,0.01,7,1.42857143,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","Brand + Product Group A",BanersFartoClose,BanersFartoClose,LINK_CLICKS,2024-12-04,male,25-34,not_delivering,ad,"7-day click or 1-day view",,,4,1,,0.01,4,2.5,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","Brand + Product Group A",BanersFartoClose,BanersFartoClose,LINK_CLICKS,2024-12-04,unknown,45-54,not_delivering,ad,"7-day click or 1-day view",,,3,1,,0.01,3,3.33333333,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","Brand + Product Group A",BanersFartoClose,BanersFartoClose,LINK_CLICKS,2024-12-04,unknown,18-24,not_delivering,ad,"7-day click or 1-day view",,,1,1,,0,1,0,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","HumanCustumer Group A",AmitHomeMini_PQ_V1,AmitHomeMini_PQ_V1,LINK_CLICKS,2024-12-04,female,65+,not_delivering,ad,"7-day click or 1-day view",,,3,1,,0.03,3,10,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","HumanCustumer Group A",AmitHomeMini_PQ_V1,AmitHomeMini_PQ_V1,LINK_CLICKS,2024-12-04,male,65+,not_delivering,ad,"7-day click or 1-day view",,,1,1,,0,1,0,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","Brand + Product Group A",JPWABRanChill_PQ_V1,JPWABRanChill_PQ_V1,LINK_CLICKS,2024-12-04,female,55-64,not_delivering,ad,"7-day click or 1-day view","Link clicks",1,10,1,0.11,0.11,10,11,1,0.11,10,1,10,0.11,1,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","Brand + Product Group A",JPWABRanChill_PQ_V1,JPWABRanChill_PQ_V1,LINK_CLICKS,2024-12-04,male,65+,not_delivering,ad,"7-day click or 1-day view",,,5,1,,0.03,5,6,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","Brand + Product Group A",JPWABRanChill_PQ_V1,JPWABRanChill_PQ_V1,LINK_CLICKS,2024-12-04,male,55-64,not_delivering,ad,"7-day click or 1-day view","Link clicks",1,2,1,0.02,0.02,2,10,1,0.02,50,1,50,0.02,1,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
